,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Louvain,LPA
0,1,3,3,3,2,0
1,99,99,99,99,99,99
2,99,99,99,99,99,99
3,1,1,1,1,9,1
4,1,3,3,3,2,0
5,1,1,4,4,2,2
6,0,3,3,3,2,0
7,0,3,3,3,2,0
8,99,99,99,99,99,99
9,1,1,1,1,9,1
10,1,1,1,4,9,2
11,99,99,99,99,99,99
12,2,1,4,4,12,2
13,1,1,2,2,12,3
14,2,2,2,2,12,3
15,99,99,99,99,99,99
16,2,2,2,2,12,3
17,99,99,99,99,99,99
18,2,2,2,2,12,3
19,2,2,2,2,12,3
20,99,99,99,99,99,99
21,2,2,2,2,12,3
22,99,99,99,99,99,99
23,1,1,1,1,9,1
24,99,99,99,99,99,99
25,99,99,99,99,99,99
26,2,2,2,2,12,3
27,2,2,2,5,13,4
28,2,2,2,5,13,4
29,2,2,2,5,13,4
30,1,1,1,1,9,1
31,1,1,1,1,9,1
32,1,1,1,1,9,1
33,1,1,1,1,9,1
34,99,99,99,99,99,99
35,2,1,3,2,2,5
36,99,99,99,99,99,99
37,99,99,99,99,99,99
38,2,2,2,5,13,6
39,99,99,99,99,99,99
40,2,2,2,5,13,4
41,99,99,99,99,99,99
42,99,99,99,99,99,99
43,1,1,1,1,9,1
44,99,99,99,99,99,99
45,99,99,99,99,99,99
46,99,99,99,99,99,99
47,99,99,99,99,99,99
48,99,99,99,99,99,99
49,2,2,2,5,13,6
50,2,2,2,5,13,4
51,2,2,2,2,13,5
52,2,2,2,2,13,5
53,1,1,1,1,9,1
54,99,99,99,99,99,99
55,99,99,99,99,99,99
Modularity,0.02506065985997616,0.051528279110379875,0.05018215209372317,0.07003469328243911,0.10190216593624966,0.06974565867300844
NMI,0.54809082907210183,0.62720706288591299,0.78675417536458059,0.71190342943141371,1.0,0.76530706085406008
