,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,2,2,5,5,5,0,0
1,0,3,3,3,3,4,0,1
2,2,2,2,5,5,5,0,0
3,1,1,1,1,1,1,0,2
4,2,3,2,5,5,5,0,0
5,0,0,3,3,3,4,0,3
6,1,3,3,3,3,4,0,1
7,0,0,0,0,6,7,0,3
8,1,1,1,1,1,7,0,2
9,1,1,4,4,4,3,0,4
10,1,3,4,4,4,3,0,5
11,1,3,3,3,3,4,0,2
12,0,3,3,3,3,4,0,5
13,1,3,4,4,4,3,0,2
14,2,2,2,2,2,2,0,4
15,2,2,2,2,2,2,0,6
16,0,0,0,0,6,6,0,3
17,2,2,2,2,2,2,0,6
18,2,2,2,2,2,2,0,6
19,2,2,2,2,2,2,0,6
20,2,2,2,2,2,2,0,6
21,2,2,2,2,2,2,0,3
22,1,1,1,1,1,1,1,7
23,0,3,4,4,4,3,0,5
24,0,3,4,3,6,3,0,5
25,1,1,1,1,1,1,1,7
26,2,2,2,2,2,2,0,3
27,1,1,1,1,1,1,1,7
28,1,1,1,1,1,1,1,7
29,1,1,1,1,1,1,1,7
30,1,1,1,1,1,1,0,2
31,1,1,1,1,1,1,1,7
32,1,1,1,1,1,1,1,2
33,1,1,1,1,1,1,1,7
34,1,1,1,1,1,1,1,7
35,1,1,1,1,1,1,1,2
36,1,1,1,1,1,1,1,7
37,1,1,1,1,1,1,1,7
38,1,1,1,1,1,1,1,7
39,1,1,1,1,1,1,1,7
40,1,1,1,1,1,1,1,7
41,1,1,1,1,5,5,1,3
42,1,1,1,1,1,1,1,7
43,99,99,99,99,99,99,99,99
44,1,1,1,1,1,1,1,7
45,1,1,1,1,1,1,1,7
46,1,1,1,1,1,1,1,7
47,99,99,99,99,99,99,99,99
48,1,1,1,1,1,1,1,7
49,1,1,1,1,1,1,1,7
50,1,1,1,1,1,1,1,2
51,1,1,1,1,1,1,1,7
52,1,1,1,1,1,1,1,2
53,1,1,1,1,1,1,1,7
54,99,99,99,99,99,99,99,99
55,1,1,1,1,1,1,1,2
Modularity,0.07058126097772768,0.09331904839707258,0.09915930358131467,0.10144183597542651,0.09760366572205181,0.10219873357946095,0.12122020492406188,0.07451337711488482
NMI,0.4358619451366737,0.53805308346411862,0.55408567262003028,0.5290797076785817,0.47728992670009657,0.51132179172330683,1.0,0.46343489715157149
