,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,0,3,3,3,3,3,3,3,3,3,3,0,0
1,0,0,0,5,5,6,6,6,6,6,6,3,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2,2,2,2,2,2,1
4,0,3,4,4,3,3,3,3,3,3,3,0,0
5,2,3,3,4,6,6,6,9,9,9,9,0,1
6,0,3,3,4,6,6,6,6,6,6,6,0,1
7,0,3,3,4,6,6,6,6,6,6,6,0,1
8,0,2,1,5,5,7,7,7,10,10,10,3,3
9,0,0,2,2,2,7,7,7,7,7,7,2,1
10,2,3,3,4,6,6,6,9,9,9,9,0,1
11,0,3,3,4,6,6,6,9,9,9,9,0,1
12,1,3,3,4,6,6,6,6,6,6,6,0,1
13,0,0,0,0,6,7,7,7,8,8,7,2,1
14,1,1,1,1,1,1,1,1,1,1,12,1,4
15,1,1,1,1,1,1,1,1,1,1,1,1,4
16,1,1,1,1,1,1,1,1,1,1,1,1,4
17,1,1,1,1,1,1,1,1,1,1,1,1,4
18,1,1,1,1,1,1,1,1,1,1,1,1,4
19,1,1,1,1,1,1,1,1,1,1,1,1,4
20,1,1,1,1,1,1,1,1,1,1,1,1,4
21,1,1,1,1,1,1,1,1,1,1,1,1,4
22,1,1,1,1,1,1,1,1,1,1,1,1,4
23,2,2,4,3,4,7,7,7,7,7,7,2,1
24,0,0,3,4,0,0,0,9,9,9,9,0,1
25,1,1,1,1,1,1,1,1,1,1,12,1,4
26,0,0,4,3,5,4,8,8,8,8,8,3,5
27,2,2,4,4,6,6,6,9,9,11,11,2,1
28,2,2,4,3,4,4,4,4,4,4,4,2,5
29,1,1,4,3,4,4,4,4,4,4,4,3,5
30,2,2,2,2,2,2,2,2,2,2,2,2,2
31,2,2,2,2,2,2,2,2,2,2,2,2,2
32,2,2,2,2,2,2,2,2,2,2,2,2,2
33,2,2,2,2,2,2,2,2,2,2,2,2,2
34,1,3,4,3,4,4,4,4,4,4,4,3,5
35,0,3,3,3,3,3,3,3,3,3,3,0,0
36,0,1,1,5,5,7,7,7,10,10,10,3,3
37,0,0,3,5,0,7,7,7,8,8,12,3,5
38,1,3,4,3,4,4,4,4,4,4,4,3,5
39,2,3,0,5,0,7,7,7,10,11,4,3,5
40,1,3,4,4,5,5,5,5,5,5,5,3,6
41,0,0,0,5,5,5,5,5,5,5,5,3,6
42,0,0,0,5,5,5,5,5,5,5,5,3,6
43,2,3,4,5,5,5,5,5,5,5,5,3,6
44,1,3,4,3,4,4,4,4,4,4,4,3,5
45,2,3,0,5,2,7,7,7,10,10,10,3,5
46,1,3,4,3,4,4,4,6,7,4,4,3,5
47,2,3,3,5,5,7,7,7,10,10,10,3,3
48,0,1,1,1,3,0,0,0,0,11,11,3,5
49,1,3,4,3,4,4,4,4,4,4,4,3,5
50,1,3,4,3,4,4,4,4,4,4,4,3,5
51,1,3,4,3,4,4,8,8,8,8,8,3,5
52,0,0,3,4,3,3,8,9,9,9,9,0,5
53,1,3,4,5,4,7,7,7,10,10,10,3,5
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.092279055832674,0.12531991841041018,0.16727598207258443,0.16913732584461422,0.18921767699573133,0.1953930059641946,0.18976900467882563,0.18092232920047877,0.18331837980190385,0.18139593355169564,0.17236753912108166,0.24888374303121347,0.21035913539121612
NMI,0.34596380935382692,0.52506404168489307,0.58500902692598655,0.63608576687348573,0.63864320188787804,0.62975338362179678,0.59582589355271365,0.62079778011708653,0.63470166177833809,0.65926065419806001,0.65630620758653135,1.0,0.63857090001061523
