,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,
0,0,0,0,0,6,6,6,6,6,6,6,1,
1,2,3,3,3,3,2,2,2,7,7,7,0,
2,2,3,3,3,3,3,3,3,3,3,3,0,
3,2,2,2,2,2,1,8,8,8,8,8,0,
4,0,0,0,5,6,6,6,6,6,6,6,1,
5,2,2,2,2,2,2,2,2,9,11,2,0,
6,2,2,2,2,2,2,2,2,7,7,7,0,
7,2,2,2,2,2,2,2,2,7,7,7,0,
8,2,2,2,2,2,2,2,2,1,11,2,0,
9,0,2,1,1,1,1,8,8,8,8,8,0,
10,2,2,3,3,3,3,3,8,8,8,8,0,
11,1,1,1,1,1,1,1,1,1,11,12,2,
12,2,2,2,2,2,2,2,2,9,9,2,0,
13,2,2,2,1,1,1,8,8,8,8,8,0,
14,0,0,0,0,0,0,8,9,9,9,9,0,
15,2,2,2,2,2,2,2,2,9,2,2,0,
16,0,0,4,4,6,7,7,7,2,2,9,0,
17,0,0,4,2,4,7,7,7,2,2,9,0,
18,2,2,2,2,2,2,2,2,2,2,2,0,
19,2,2,2,2,2,7,7,7,2,2,9,0,
20,2,3,3,3,3,3,3,3,3,3,3,0,
21,2,2,2,2,2,2,2,2,7,7,7,0,
22,2,3,3,3,3,3,3,3,3,3,3,0,
23,0,2,4,4,4,1,8,8,8,8,8,0,
24,1,3,4,4,4,4,4,4,4,4,4,2,
25,2,2,2,2,2,2,2,9,9,9,2,0,
26,0,2,1,1,6,6,8,9,10,10,10,0,
27,1,1,1,1,1,1,1,7,4,2,12,2,
28,2,3,2,2,2,2,2,2,3,11,2,0,
29,1,1,1,1,1,4,4,4,4,4,12,2,
30,2,3,3,3,3,3,3,3,3,3,3,0,
31,0,3,3,3,3,3,3,3,3,3,3,0,
32,2,3,3,3,3,3,3,3,3,3,3,0,
33,2,3,3,3,3,3,3,3,3,3,3,0,
34,1,1,4,4,4,4,4,4,4,11,11,2,
35,1,1,4,4,6,6,6,6,6,6,6,2,
36,1,1,1,1,1,1,1,1,1,11,11,2,
37,0,2,0,0,1,1,1,1,1,1,1,2,
38,2,2,1,1,1,1,1,1,1,1,1,2,
39,1,1,1,1,1,1,1,1,1,1,1,2,
40,2,2,2,5,5,5,5,5,5,5,5,2,
41,2,2,2,5,5,5,5,5,5,5,5,2,
42,2,2,2,5,5,5,5,5,5,5,5,2,
43,1,1,4,5,5,4,4,4,4,4,4,2,
44,1,1,1,1,1,1,1,1,1,4,12,2,
45,0,0,0,0,0,0,0,9,10,10,10,2,
46,1,1,4,4,4,4,4,4,4,4,4,2,
47,1,1,1,1,1,1,1,1,1,11,11,2,
48,1,1,1,1,1,1,1,1,1,11,12,2,
49,1,1,1,1,1,1,4,4,4,4,4,2,
50,1,1,4,4,4,4,4,4,4,4,4,2,
51,1,3,4,4,4,4,4,4,4,4,4,2,
52,1,3,4,4,4,4,4,4,4,4,4,2,
53,1,1,4,4,4,4,4,4,4,4,4,2,
54,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.14277861433564387,0.120162836120502,0.11591164697880657,0.12191150326472328,0.1280843883647536,0.129797153601732,0.15602043380755576,0.1480252162119509,0.14057745082596002,0.12452553834278104,0.12158271751672732,0.2052376722891583,
NMI,0.46822440061551568,0.35966360620322979,0.31654703584391924,0.40208835466072573,0.41630604246780573,0.45300732396982912,0.61124057228264372,0.53584680783953287,0.52606474135134951,0.44800501359972139,0.54181569452080269,1.0,
Silhoutte,0.09234077,0.0740725,0.08205235,0.11226508,0.13200983,0.16735223,0.21891405,0.2128596,0.19860929,0.20204948,0.25431603,0.12224674,
