,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,3,3,3,3,3,1,0
1,2,3,3,3,3,7,1,0
2,99,99,99,99,99,99,99,99
3,1,1,4,4,4,4,3,1
4,0,3,3,3,3,3,1,0
5,1,1,1,1,1,1,3,1
6,0,3,3,3,3,7,1,0
7,1,1,1,1,1,1,3,2
8,1,1,1,1,1,1,3,2
9,99,99,99,99,99,99,99,99
10,1,1,1,1,1,1,3,3
11,1,1,1,1,1,1,3,2
12,1,1,1,1,1,1,3,2
13,1,1,1,1,1,1,3,2
14,1,1,1,1,1,1,3,2
15,1,1,1,5,5,5,3,3
16,1,1,1,1,1,1,3,3
17,1,1,1,1,1,1,3,2
18,1,1,1,1,1,1,3,2
19,1,1,1,1,1,1,3,3
20,0,3,3,5,5,5,3,4
21,1,1,1,1,1,1,3,2
22,0,3,3,5,5,5,3,4
23,0,0,4,4,4,4,3,1
24,1,1,4,4,4,4,3,5
25,2,3,4,4,4,4,4,5
26,2,2,2,2,2,2,4,6
27,2,2,2,2,2,2,4,6
28,1,1,1,1,1,1,3,2
29,2,2,2,2,2,2,4,6
30,2,2,2,2,2,2,4,5
31,1,3,3,5,5,5,3,3
32,1,1,1,1,1,1,3,2
33,2,2,2,2,2,2,4,6
34,2,2,2,2,2,2,4,6
35,0,3,3,3,3,3,1,0
36,1,1,1,1,1,1,3,2
37,0,0,4,4,6,6,4,7
38,0,0,0,0,0,0,4,1
39,2,2,2,2,2,2,4,6
40,1,1,1,1,4,4,4,8
41,1,1,1,1,6,4,4,8
42,1,1,3,1,4,4,4,8
43,2,2,2,2,2,2,4,5
44,2,2,2,2,2,2,4,6
45,2,2,2,2,2,2,4,6
46,2,2,2,2,2,2,4,6
47,0,0,4,4,6,6,4,7
48,2,2,2,2,2,2,4,6
49,2,2,2,2,2,2,4,6
50,2,2,4,4,4,4,4,5
51,2,2,2,2,2,2,4,5
52,2,2,2,2,2,2,4,1
53,2,2,2,2,2,2,4,6
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.10489917587879855,0.12092922881524777,0.12046651203735895,0.12424214374408823,0.13419698601145683,0.13294050879718314,0.15706863453270237,0.09847114984496463
NMI,0.46270830184935136,0.52822629733091941,0.49602416173491531,0.58171249004352077,0.68050642481850243,0.66398346605407088,1.0,0.59912685226897189
