,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,
0,0,0,4,5,5,5,5,5,5,2,
1,1,3,3,4,4,4,5,4,4,2,
2,0,0,0,4,4,4,4,9,9,2,
3,1,1,1,1,1,1,1,1,1,1,
4,0,0,4,5,5,5,5,5,5,2,
5,0,0,4,5,5,5,5,9,5,2,
6,1,1,1,1,1,1,1,1,1,1,
7,1,1,1,1,1,1,1,1,1,1,
8,0,3,3,4,4,7,7,7,7,3,
9,2,2,4,4,4,4,4,9,9,1,
10,1,1,1,1,1,1,1,1,1,1,
11,1,1,1,1,1,1,1,1,1,1,
12,1,1,1,1,1,1,1,1,1,1,
13,1,1,1,1,1,1,1,1,1,1,
14,1,3,3,3,3,3,3,3,3,0,
15,1,3,3,3,3,3,3,3,3,0,
16,1,3,3,3,3,3,3,3,3,0,
17,1,3,3,3,3,3,3,3,3,0,
18,1,3,3,3,3,3,3,3,3,0,
19,1,3,3,3,3,3,3,3,3,0,
20,1,3,3,3,3,3,3,3,3,0,
21,1,3,3,5,5,5,5,9,9,0,
22,1,3,3,3,3,3,3,3,3,0,
23,1,1,1,1,1,1,1,1,1,1,
24,1,1,1,1,1,1,1,1,1,1,
25,2,2,2,2,2,2,2,2,2,3,
26,1,3,3,3,3,3,3,3,3,0,
27,1,1,1,1,1,1,1,1,1,1,
28,2,1,1,1,1,1,1,1,1,3,
29,2,2,2,2,2,2,2,2,2,3,
30,0,0,4,4,4,4,4,4,4,2,
31,0,0,4,4,4,4,4,4,9,2,
32,0,0,4,4,4,4,4,4,4,2,
33,2,2,2,2,2,2,2,2,2,3,
34,1,0,4,4,4,4,4,4,10,3,
35,1,1,4,5,5,5,8,8,8,2,
36,0,0,4,4,4,7,7,7,7,3,
37,2,2,2,2,2,2,2,2,2,3,
38,2,2,2,2,2,2,2,2,10,3,
39,2,2,2,2,2,2,2,2,2,3,
40,2,2,2,2,6,6,6,6,6,3,
41,0,0,2,5,6,6,6,6,6,3,
42,2,2,2,2,6,6,6,6,6,3,
43,2,2,2,2,6,6,6,6,6,3,
44,2,2,2,2,2,2,2,2,2,3,
45,2,2,2,2,2,2,2,2,2,3,
46,1,1,1,1,1,1,1,1,1,1,
47,0,0,4,5,2,2,0,0,0,3,
48,2,2,2,2,2,2,2,2,2,3,
49,2,2,2,2,2,2,2,2,2,3,
50,2,1,1,1,1,1,1,1,1,1,
51,2,2,4,4,6,7,8,7,7,3,
52,1,1,1,1,5,5,8,8,8,1,
53,2,2,4,2,2,5,8,8,8,3,
54,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,
Modularity,0.11673487077854426,0.13363217623609602,0.1340127696980228,0.14457271314266876,0.13964916679842662,0.13983328939757664,0.13283643792570035,0.1281526923836931,0.12035510020894435,0.16341570515996165,
NMI,0.50243516997065607,0.64006922138937794,0.66234983179953433,0.66559524987727114,0.66485160855515735,0.64464468939911934,0.6400812619469286,0.64939222831847754,0.66351058540970531,1.0,
Silhoutte,0.14055639,0.17516817,0.16306724,0.20074631,0.19327273,0.22377311,0.23247766,0.22960759,0.21469246,0.16954133,
