,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,2,2,2,2,6,2,2,2,0,0
1,2,2,2,2,6,2,2,2,0,0
2,2,2,2,2,6,2,2,2,0,0
3,1,3,3,3,3,3,3,3,1,1
4,2,2,2,2,6,2,2,2,0,0
5,0,3,4,4,4,4,4,4,0,2
6,2,2,3,3,6,2,2,2,0,0
7,1,3,3,3,6,2,2,9,0,2
8,0,3,4,4,4,4,4,9,0,2
9,0,3,3,3,3,3,3,3,1,1
10,0,3,4,4,4,4,4,4,0,2
11,0,3,4,4,4,4,4,4,0,2
12,1,3,4,4,4,4,4,4,0,2
13,2,2,3,3,3,3,8,8,0,2
14,2,2,2,2,2,7,7,7,0,3
15,2,2,2,2,2,7,7,7,0,3
16,2,2,2,2,2,7,7,7,0,2
17,2,2,2,2,2,7,7,7,0,3
18,2,2,2,2,2,7,7,7,0,3
19,2,2,2,2,2,7,7,7,0,3
20,2,2,2,2,2,7,7,7,0,2
21,2,3,2,2,2,7,7,7,0,2
22,1,1,1,1,1,1,1,1,3,4
23,1,3,3,3,3,3,3,3,1,1
24,1,3,3,3,3,3,3,3,1,1
25,1,1,1,5,5,5,5,8,2,5
26,2,2,2,2,2,7,8,8,0,2
27,1,1,1,1,1,1,1,1,3,4
28,1,1,1,1,1,1,1,1,2,6
29,1,1,1,1,1,1,1,1,3,6
30,1,1,1,5,5,5,5,5,2,7
31,1,1,1,5,5,5,5,5,2,7
32,1,1,1,5,5,5,5,5,2,7
33,1,1,1,5,5,5,5,5,2,7
34,1,1,1,5,5,5,5,5,2,7
35,2,2,2,2,6,2,2,2,0,0
36,1,1,1,1,1,1,1,1,3,5
37,1,1,1,1,6,6,6,6,3,5
38,1,1,1,1,6,6,6,6,3,5
39,1,1,1,1,1,1,1,1,3,6
40,1,3,1,1,1,1,1,1,3,4
41,1,3,4,4,1,6,6,6,3,5
42,1,1,1,1,1,1,1,1,3,4
43,1,1,1,1,1,1,1,1,3,4
44,1,1,1,1,1,1,1,1,3,6
45,1,1,1,1,1,1,1,1,3,6
46,1,1,1,1,1,1,1,1,3,6
47,1,1,1,1,1,1,1,1,3,6
48,1,1,1,1,1,1,1,1,3,6
49,1,1,1,1,1,1,1,1,3,6
50,1,1,1,1,1,1,1,1,3,5
51,1,1,1,1,1,1,1,1,3,5
52,1,1,1,1,1,1,1,1,3,6
53,1,1,1,1,1,1,1,1,3,4
54,1,1,1,1,1,1,1,1,3,4
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.13314638305892482,0.15761511584277985,0.1539923492638686,0.15467492075991654,0.1724765912702676,0.169526506414891,0.16411017471664013,0.15724340552857244,0.19625773562212068,0.13085042804027439
NMI,0.52021571763254526,0.60420558314564632,0.64118712361574248,0.74154520435584892,0.70371335247216105,0.73886886294249876,0.75396273536122749,0.71379798209087586,1.0,0.69350417483094617
