,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,LPA
0,2,2,2,2,2,2,0,0
1,2,2,3,3,6,7,5,1
2,2,2,2,2,2,2,0,0
3,2,2,4,4,4,4,2,2
4,2,2,2,2,2,2,0,0
5,2,2,2,2,6,6,0,3
6,0,3,0,0,6,7,5,4
7,0,0,0,5,5,5,1,3
8,0,0,0,5,5,5,1,3
9,2,3,4,4,4,4,2,2
10,1,1,4,4,4,4,2,2
11,2,2,2,2,2,2,0,0
12,2,2,2,2,2,2,0,0
13,2,2,4,4,4,4,2,2
14,2,2,4,1,1,1,2,4
15,2,3,2,5,5,2,5,4
16,0,3,3,3,3,3,5,1
17,0,3,3,3,3,3,5,1
18,0,3,3,3,3,3,5,4
19,1,3,3,5,5,5,5,4
20,0,3,3,3,3,6,5,1
21,1,3,3,1,1,7,5,4
22,99,99,99,99,99,99,99,99
23,2,2,4,4,4,4,2,2
24,2,3,3,3,3,3,5,1
25,99,99,99,99,99,99,99,99
26,2,3,2,2,2,2,5,4
27,2,2,2,2,2,2,0,0
28,1,1,1,1,1,1,6,5
29,1,1,1,1,1,1,6,5
30,1,1,1,1,1,1,6,6
31,1,1,1,1,6,6,6,6
32,1,1,1,1,1,1,6,6
33,1,1,1,1,1,1,6,5
34,2,3,3,3,3,3,5,1
35,2,2,2,2,2,2,0,0
36,1,3,3,3,3,3,5,1
37,2,2,2,2,2,2,0,0
38,1,1,1,1,1,1,6,3
39,2,3,3,3,3,3,5,1
40,1,1,1,1,1,1,6,5
41,1,1,1,1,1,1,6,5
42,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,6,5
44,1,1,1,1,1,1,6,5
45,99,99,99,99,99,99,99,99
46,99,99,99,99,99,99,99,99
47,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99
49,1,1,1,1,1,1,6,5
50,1,1,1,1,1,1,6,5
51,2,2,2,2,2,2,0,0
52,2,2,2,2,2,2,0,0
53,2,3,3,3,3,3,5,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
Modularity,0.11437340506598609,0.16222636306097832,0.1995173592669266,0.16792307692306482,0.16432054130882168,0.168151647613142,0.2273670036683169,0.17916092276999782
NMI,0.50550685440945264,0.77614035087680944,0.87835205031770869,0.77297488486662602,0.69554657786949858,0.71982220228876292,1.0,0.79215646871011181
