,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,7,7,7,7,6,7,7
2,2,3,4,5,5,5,5,5,5,5,5,13
3,2,3,2,3,3,2,2,2,2,7,2,2
4,0,0,0,0,6,0,7,7,7,11,11,11
5,2,3,1,1,6,1,7,0,0,2,10,13
6,0,0,0,3,3,7,7,7,7,7,7,7
7,0,2,3,2,4,3,3,3,3,3,3,3
8,0,3,3,3,3,2,3,3,3,3,9,13
9,1,1,1,1,1,1,1,1,1,1,1,1
10,2,3,0,3,6,2,7,7,7,11,11,11
11,1,1,1,1,1,1,1,1,1,1,1,1
12,2,3,0,3,6,2,7,7,7,11,11,11
13,1,1,1,1,1,1,1,1,1,1,1,1
14,1,0,0,0,6,6,6,9,9,9,12,12
15,1,3,4,4,6,6,6,6,6,6,6,6
16,2,3,4,4,3,7,8,8,8,8,8,8
17,1,3,4,4,6,6,6,9,9,9,12,12
18,2,3,4,4,6,7,8,8,8,8,8,8
19,0,0,0,3,3,7,2,7,7,7,2,2
20,2,2,2,5,5,5,5,5,5,5,5,5
21,1,1,1,1,1,1,1,1,1,1,1,1
22,2,0,0,5,5,5,5,5,5,5,5,5
23,2,2,3,2,4,3,3,3,3,3,3,3
24,2,2,3,2,4,3,3,3,3,3,3,8
25,2,3,4,3,3,2,2,2,2,7,9,2
26,1,3,4,4,6,6,6,6,6,6,6,6
27,0,3,3,3,3,2,2,7,7,7,2,2
28,1,3,4,1,1,2,2,2,2,1,1,1
29,1,2,3,2,4,4,4,9,9,9,2,2
30,2,3,4,3,3,2,2,2,2,7,2,2
31,2,3,4,5,5,5,5,5,5,5,5,5
32,2,3,4,5,5,5,5,5,5,5,5,5
33,0,3,3,3,4,3,3,3,3,3,3,3
34,2,2,2,2,2,4,4,4,4,4,4,4
35,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,1,1,1,1,1,1,1,1,1,1
37,0,0,2,0,0,0,0,0,10,10,10,10
38,2,0,2,3,3,0,4,4,10,10,10,10
39,2,3,4,4,3,7,8,8,8,8,8,8
40,2,2,2,4,2,4,4,4,4,4,4,4
41,0,0,2,4,0,4,4,4,4,4,4,4
42,2,2,2,4,2,4,4,4,4,4,4,4
43,0,0,0,0,6,7,7,9,9,9,12,7
44,2,2,2,5,2,4,4,4,4,4,4,4
45,1,0,4,0,6,6,6,6,6,6,6,6
46,2,3,4,4,6,6,8,8,8,8,8,8
47,0,0,0,0,0,4,4,9,9,9,7,7
48,0,2,3,2,0,0,0,0,10,2,9,9
49,2,2,3,2,4,3,3,3,3,3,3,3
50,2,2,2,2,4,3,3,3,3,3,3,3
51,0,0,0,0,6,0,6,9,9,9,12,12
52,1,1,1,1,1,1,1,1,1,1,1,1
53,2,2,3,2,4,3,3,3,3,3,3,3
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
