,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Louvain,
0,2,3,3,3,3,3,1,
1,2,3,3,3,3,7,1,
2,99,99,99,99,99,99,99,
3,1,1,4,4,4,4,3,
4,0,3,3,3,3,3,1,
5,1,1,1,1,1,1,3,
6,0,3,3,3,3,7,1,
7,1,1,1,1,1,1,3,
8,1,1,1,1,1,1,3,
9,99,99,99,99,99,99,99,
10,1,1,1,1,1,1,3,
11,1,1,1,1,1,1,3,
12,1,1,1,1,1,1,3,
13,1,1,1,1,1,1,3,
14,1,1,1,1,1,1,3,
15,1,1,1,5,5,5,3,
16,1,1,1,1,1,1,3,
17,1,1,1,1,1,1,3,
18,1,1,1,1,1,1,3,
19,1,1,1,1,1,1,3,
20,0,3,3,5,5,5,3,
21,1,1,1,1,1,1,3,
22,0,3,3,5,5,5,3,
23,0,0,4,4,4,4,3,
24,1,1,4,4,4,4,3,
25,2,3,4,4,4,4,4,
26,2,2,2,2,2,2,4,
27,2,2,2,2,2,2,4,
28,1,1,1,1,1,1,3,
29,2,2,2,2,2,2,4,
30,2,2,2,2,2,2,4,
31,1,3,3,5,5,5,3,
32,1,1,1,1,1,1,3,
33,2,2,2,2,2,2,4,
34,2,2,2,2,2,2,4,
35,0,3,3,3,3,3,1,
36,1,1,1,1,1,1,3,
37,0,0,4,4,6,6,4,
38,0,0,0,0,0,0,4,
39,2,2,2,2,2,2,4,
40,1,1,1,1,4,4,4,
41,1,1,1,1,6,4,4,
42,1,1,3,1,4,4,4,
43,2,2,2,2,2,2,4,
44,2,2,2,2,2,2,4,
45,2,2,2,2,2,2,4,
46,2,2,2,2,2,2,4,
47,0,0,4,4,6,6,4,
48,2,2,2,2,2,2,4,
49,2,2,2,2,2,2,4,
50,2,2,4,4,4,4,4,
51,2,2,2,2,2,2,4,
52,2,2,2,2,2,2,4,
53,2,2,2,2,2,2,4,
54,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,
Modularity,0.10489917587879855,0.12092922881524777,0.12046651203735895,0.12424214374408823,0.13419698601145683,0.13294050879718314,0.15706863453270237,
NMI,0.46270830184935136,0.52822629733091941,0.49602416173491531,0.58171249004352077,0.68050642481850243,0.66398346605407088,1.0,
Silhoutte,0.19528156,0.22403833,0.22935019,0.2505685,0.31249418,0.34440195,0.23486633,
