,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Louvain,LPA
0,0,3,3,3,3,3,3,3,1,0
1,0,3,3,3,3,3,3,3,1,0
2,0,3,3,3,3,3,3,3,1,0
3,2,2,2,5,5,5,5,5,1,1
4,0,3,3,3,3,3,3,3,1,0
5,1,1,1,5,5,5,5,5,0,1
6,0,3,3,3,3,7,8,8,1,2
7,1,1,3,5,5,5,5,5,1,1
8,0,0,2,2,6,6,6,6,4,3
9,1,1,1,5,5,5,5,5,1,1
10,1,1,1,5,5,5,5,5,1,1
11,0,0,0,0,0,0,0,9,1,2
12,1,1,1,1,1,1,1,1,0,1
13,1,1,1,5,5,5,5,5,0,4
14,1,1,1,1,1,1,1,1,0,5
15,1,1,1,1,1,1,1,1,0,5
16,2,2,3,1,1,7,7,7,0,2
17,1,1,1,1,1,1,1,1,0,5
18,1,1,1,1,1,1,1,1,0,5
19,1,1,1,1,1,1,1,1,0,5
20,1,1,1,1,1,1,1,1,0,5
21,1,1,1,1,1,1,1,1,0,5
22,1,1,1,1,1,1,1,1,0,5
23,0,2,0,5,5,5,5,5,1,4
24,2,2,2,5,5,7,8,8,4,4
25,99,99,99,99,99,99,99,99,99,99
26,1,1,1,5,1,1,8,8,0,4
27,1,1,1,1,1,1,1,1,0,5
28,2,2,1,4,4,4,4,4,4,1
29,2,2,2,2,2,2,2,2,4,6
30,2,2,4,4,4,4,4,4,4,7
31,2,2,4,4,4,4,4,4,4,7
32,2,2,4,4,4,4,4,4,4,7
33,2,2,4,4,4,4,4,4,4,7
34,0,0,0,2,2,2,2,2,4,2
35,1,3,3,3,3,3,3,3,1,0
36,0,0,2,2,6,6,6,6,4,3
37,99,99,99,99,99,99,99,99,99,99
38,0,0,3,0,5,7,7,7,0,2
39,1,0,0,0,5,0,8,8,4,2
40,2,2,2,2,2,2,2,2,4,8
41,2,3,2,2,2,2,2,2,4,8
42,99,99,99,99,99,99,99,99,99,99
43,2,2,2,5,2,2,8,8,4,4
44,2,2,2,2,2,2,2,2,4,8
45,99,99,99,99,99,99,99,99,99,99
46,2,2,2,2,2,2,2,2,4,6
47,99,99,99,99,99,99,99,99,99,99
48,1,3,2,2,6,6,6,6,4,3
49,2,2,2,2,2,2,2,2,4,8
50,2,2,2,2,2,2,2,2,4,6
51,2,2,2,5,2,2,2,2,4,8
52,1,2,1,5,5,5,5,5,1,1
53,2,2,2,2,2,2,2,2,4,6
54,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99
Modularity,0.11739597901982532,0.12973388631247654,0.1480950434948982,0.15272936498950926,0.14724017195199743,0.14068041392114775,0.13566830988022413,0.1356683098802241,0.17372848835438573,0.10776927711246857
NMI,0.35249132498276076,0.40476684768650861,0.49080578993136909,0.56070520056333373,0.62101347103812699,0.60372793066819419,0.60177704611161964,0.60177704611161964,1.0,0.45299909968743768
