,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
0,0,0,4,4,4,4,4,9,9,9,9,9
1,0,0,0,0,6,6,6,6,10,10,10,10
2,1,1,4,4,4,4,4,9,9,9,9,9
3,0,3,3,3,3,3,3,3,3,3,3,3
4,0,0,4,4,4,4,4,9,9,9,9,9
5,1,1,1,1,1,1,1,1,1,1,1,1
6,0,0,0,0,6,6,6,6,10,10,10,10
7,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,4,4,4,4,4,4,4,4,4,11
9,2,3,3,3,3,3,3,3,3,3,3,3
10,1,1,1,1,1,1,4,4,4,4,4,4
11,1,1,4,4,4,4,4,4,4,4,4,4
12,1,1,1,1,1,1,1,1,1,1,1,1
13,0,3,3,3,3,3,3,3,3,3,3,3
14,2,3,3,3,5,6,6,6,6,6,6,6
15,1,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1,1
21,2,3,3,3,3,3,3,3,3,3,3,3
22,1,1,1,1,1,1,1,1,1,1,1,1
23,2,3,3,3,3,3,3,3,3,3,3,3
24,2,0,0,0,6,6,6,6,6,6,6,6
25,0,0,0,0,6,6,6,6,6,6,6,6
26,2,3,3,3,3,3,3,3,3,3,3,13
27,2,2,2,2,2,2,2,2,2,2,2,2
28,2,2,2,2,2,2,2,2,2,2,2,2
29,2,2,2,2,2,2,2,2,2,2,2,2
30,2,2,2,2,2,2,2,2,2,2,2,2
31,0,0,4,4,4,4,8,8,5,4,10,4
32,2,2,2,2,2,2,2,2,2,2,2,2
33,2,2,2,2,2,2,2,2,8,8,7,2
34,2,2,2,2,2,2,2,2,2,2,2,2
35,1,1,1,1,1,1,1,9,9,9,9,9
36,2,0,4,4,4,6,8,8,8,11,11,11
37,0,0,0,0,0,6,8,8,8,8,8,8
38,2,2,2,2,2,2,2,2,2,2,12,13
39,2,3,4,4,4,4,8,8,4,4,12,11
40,0,0,0,5,5,5,5,5,5,5,5,5
41,0,0,0,5,5,5,5,5,5,5,5,5
42,0,0,0,5,5,5,5,5,5,5,5,5
43,0,3,3,5,6,7,7,7,7,7,7,13
44,2,2,2,2,2,2,2,2,2,2,2,2
45,2,2,2,2,2,2,2,2,2,2,2,2
46,2,3,4,4,4,4,4,4,4,4,4,4
47,0,0,4,4,4,6,8,8,8,8,8,8
48,2,2,2,2,2,2,8,8,2,2,12,2
49,2,2,2,2,2,2,2,2,2,2,2,2
50,2,2,2,2,2,7,7,7,7,7,2,13
51,0,0,0,0,6,7,7,7,7,7,7,7
52,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,6,7,7,7,7,7,7,7
54,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99
