,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Louvain,
0,1,1,1,1,1,1,1,1,1,1,1,1,0,
1,0,0,0,0,0,7,7,7,7,6,7,7,2,
2,2,3,4,5,5,5,5,5,5,5,5,13,1,
3,2,3,2,3,3,2,2,2,2,7,2,2,2,
4,0,0,0,0,6,0,7,7,7,11,11,11,0,
5,2,3,1,1,6,1,7,0,0,2,10,13,0,
6,0,0,0,3,3,7,7,7,7,7,7,7,2,
7,0,2,3,2,4,3,3,3,3,3,3,3,2,
8,0,3,3,3,3,2,3,3,3,3,9,13,2,
9,1,1,1,1,1,1,1,1,1,1,1,1,0,
10,2,3,0,3,6,2,7,7,7,11,11,11,2,
11,1,1,1,1,1,1,1,1,1,1,1,1,0,
12,2,3,0,3,6,2,7,7,7,11,11,11,2,
13,1,1,1,1,1,1,1,1,1,1,1,1,0,
14,1,0,0,0,6,6,6,9,9,9,12,12,3,
15,1,3,4,4,6,6,6,6,6,6,6,6,3,
16,2,3,4,4,3,7,8,8,8,8,8,8,3,
17,1,3,4,4,6,6,6,9,9,9,12,12,3,
18,2,3,4,4,6,7,8,8,8,8,8,8,3,
19,0,0,0,3,3,7,2,7,7,7,2,2,2,
20,2,2,2,5,5,5,5,5,5,5,5,5,1,
21,1,1,1,1,1,1,1,1,1,1,1,1,0,
22,2,0,0,5,5,5,5,5,5,5,5,5,1,
23,2,2,3,2,4,3,3,3,3,3,3,3,2,
24,2,2,3,2,4,3,3,3,3,3,3,8,3,
25,2,3,4,3,3,2,2,2,2,7,9,2,2,
26,1,3,4,4,6,6,6,6,6,6,6,6,3,
27,0,3,3,3,3,2,2,7,7,7,2,2,2,
28,1,3,4,1,1,2,2,2,2,1,1,1,0,
29,1,2,3,2,4,4,4,9,9,9,2,2,4,
30,2,3,4,3,3,2,2,2,2,7,2,2,2,
31,2,3,4,5,5,5,5,5,5,5,5,5,1,
32,2,3,4,5,5,5,5,5,5,5,5,5,1,
33,0,3,3,3,4,3,3,3,3,3,3,3,2,
34,2,2,2,2,2,4,4,4,4,4,4,4,4,
35,1,1,1,1,1,1,1,1,1,1,1,1,0,
36,1,1,1,1,1,1,1,1,1,1,1,1,0,
37,0,0,2,0,0,0,0,0,10,10,10,10,4,
38,2,0,2,3,3,0,4,4,10,10,10,10,4,
39,2,3,4,4,3,7,8,8,8,8,8,8,3,
40,2,2,2,4,2,4,4,4,4,4,4,4,4,
41,0,0,2,4,0,4,4,4,4,4,4,4,4,
42,2,2,2,4,2,4,4,4,4,4,4,4,4,
43,0,0,0,0,6,7,7,9,9,9,12,7,4,
44,2,2,2,5,2,4,4,4,4,4,4,4,4,
45,1,0,4,0,6,6,6,6,6,6,6,6,3,
46,2,3,4,4,6,6,8,8,8,8,8,8,3,
47,0,0,0,0,0,4,4,9,9,9,7,7,4,
48,0,2,3,2,0,0,0,0,10,2,9,9,4,
49,2,2,3,2,4,3,3,3,3,3,3,3,4,
50,2,2,2,2,4,3,3,3,3,3,3,3,4,
51,0,0,0,0,6,0,6,9,9,9,12,12,3,
52,1,1,1,1,1,1,1,1,1,1,1,1,0,
53,2,2,3,2,4,3,3,3,3,3,3,3,4,
54,99,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.10462729150304201,0.13968938357870483,0.14953684822192564,0.18335738121779496,0.17554325146408806,0.18862647410839767,0.1947393549487333,0.17699773446512718,0.17601576242323994,0.18348664324272224,0.17911814908776702,0.17899953309813565,0.24183211968942092,
NMI,0.27672088697317582,0.36471380409491105,0.43742721060950018,0.60600557776330355,0.56421763102929823,0.64510603297350244,0.68051991874054352,0.64605030524976859,0.6576448126917559,0.65281797086067983,0.61913873575146627,0.6576055044790704,1.0,
Silhoutte,-0.03085442,0.04618705,0.04483931,0.10641701,0.13378788,0.1629422,0.18916569,0.19291062,0.1865151,0.20761216,0.21892627,0.23916928,0.12446257,
