,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Louvain,LPA
0,2,2,2,2,2,2,2,2,2,0,0
1,2,2,2,2,2,2,2,2,2,0,0
2,2,2,2,2,2,2,2,2,2,0,0
3,2,3,3,3,3,3,3,3,3,3,1
4,2,2,2,2,2,2,4,9,9,0,2
5,2,0,2,2,0,0,8,9,0,0,2
6,2,2,2,2,2,2,2,2,2,0,0
7,2,2,2,2,2,2,2,2,2,0,0
8,0,0,0,0,6,6,6,6,6,0,2
9,0,3,3,3,3,3,3,3,3,3,1
10,2,2,2,2,2,7,7,7,7,0,2
11,1,1,1,1,1,7,7,7,7,7,2
12,2,2,2,2,2,2,2,2,2,0,0
13,0,3,3,5,5,5,5,5,5,3,1
14,2,3,3,5,5,5,5,5,5,3,1
15,2,2,4,4,4,4,4,4,4,3,3
16,0,0,0,0,0,0,0,9,9,3,2
17,2,2,4,4,4,4,4,4,4,3,3
18,2,2,4,4,4,4,4,4,4,3,3
19,2,2,4,4,4,4,4,4,10,3,3
20,1,1,4,4,4,4,4,4,4,3,3
21,1,1,4,4,4,4,4,4,4,3,3
22,99,99,99,99,99,99,99,99,99,99,99
23,0,0,0,5,5,5,5,5,5,7,1
24,1,1,1,5,5,5,5,5,5,7,1
25,99,99,99,99,99,99,99,99,99,99,99
26,0,0,0,5,5,5,5,5,5,3,1
27,1,1,1,1,1,1,1,1,1,7,4
28,1,1,1,1,1,1,1,1,1,7,4
29,1,1,1,1,1,1,1,1,1,7,4
30,0,3,3,3,3,3,3,3,3,3,1
31,0,3,3,3,3,3,3,3,3,3,1
32,1,3,3,3,3,3,3,3,3,3,1
33,1,1,1,1,1,1,1,1,1,7,4
34,99,99,99,99,99,99,99,99,99,99,99
35,2,2,2,2,2,2,2,9,9,0,2
36,1,1,1,1,6,6,6,6,6,7,2
37,1,3,4,4,4,4,8,8,8,7,2
38,1,1,1,1,1,1,8,8,8,7,4
39,1,1,1,1,1,1,1,1,1,7,4
40,1,1,1,1,1,1,1,1,1,7,4
41,99,99,99,99,99,99,99,99,99,99,99
42,99,99,99,99,99,99,99,99,99,99,99
43,1,1,1,1,1,1,1,1,1,7,4
44,1,1,1,1,1,1,1,1,1,7,4
45,1,1,1,1,1,1,1,1,1,7,4
46,0,3,4,4,4,4,8,8,8,7,2
47,99,99,99,99,99,99,99,99,99,99,99
48,99,99,99,99,99,99,99,99,99,99,99
49,1,1,1,1,1,1,1,1,1,7,4
50,1,1,1,1,1,1,1,1,1,7,4
51,1,1,1,1,1,1,1,1,1,7,4
52,1,1,1,1,1,1,1,1,10,7,2
53,1,1,1,1,1,1,1,1,1,7,4
54,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.1477466014849243,0.1596733312604068,0.21297947892477576,0.21128040394868267,0.20443241256808595,0.19442638783154995,0.18029876780106582,0.18114417288441448,0.16813845972740438,0.23069454569289144,0.18859944704504736
NMI,0.46620183662415599,0.46514061523882727,0.69854592934916837,0.66281275846189247,0.61756149299676089,0.5766644700323631,0.57034248124188691,0.6046248970598801,0.56833141340354909,1.0,0.57442713847731264
