,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,LPA
0,1,1,1,5,5,5,5,5,5,5,5,1,0
1,2,2,2,5,5,5,5,5,10,10,10,2,1
2,1,3,3,5,5,5,5,5,5,5,5,1,0
3,0,0,4,4,4,4,4,4,4,4,4,1,2
4,1,3,3,5,5,5,5,5,5,5,5,1,0
5,0,0,0,0,0,0,0,0,0,10,10,3,3
6,0,3,3,3,3,3,3,3,3,3,3,0,4
7,2,2,2,2,2,2,7,7,7,11,11,2,5
8,2,2,2,2,2,2,2,2,2,2,2,2,5
9,1,3,3,5,0,7,7,7,7,7,7,1,3
10,0,1,1,1,5,5,5,5,5,5,5,1,6
11,2,2,2,2,2,2,2,2,2,2,2,2,5
12,2,2,2,2,2,2,2,2,2,2,2,2,5
13,0,1,1,1,1,1,8,1,1,1,1,3,1
14,1,1,1,5,6,6,6,6,6,6,6,3,7
15,1,1,1,1,1,1,1,1,1,1,1,3,6
16,1,1,1,1,1,1,1,1,1,1,1,3,1
17,1,1,1,1,1,1,1,1,1,1,1,3,6
18,1,1,1,1,1,1,1,1,1,1,1,3,6
19,1,1,1,1,1,1,1,1,1,1,1,3,6
20,0,1,4,4,0,0,8,8,8,8,8,1,2
21,1,1,1,1,1,1,1,1,1,10,10,3,6
22,1,1,1,1,1,1,1,1,1,1,1,3,6
23,0,0,0,0,0,7,7,7,7,7,12,1,3
24,0,0,1,5,5,7,7,7,7,7,7,1,3
25,2,2,2,2,2,2,2,2,2,2,2,2,5
26,1,3,3,3,3,3,8,1,8,8,8,0,1
27,2,2,4,2,2,2,2,2,2,2,2,2,6
28,0,3,3,3,3,3,3,3,3,3,3,0,4
29,0,3,3,3,3,3,3,3,3,3,3,0,4
30,0,3,3,3,3,3,3,3,3,3,3,0,4
31,0,1,4,4,4,4,8,8,8,8,8,1,2
32,1,1,4,4,4,4,4,4,1,1,1,3,2
33,0,0,4,4,4,7,8,8,8,8,8,1,2
34,2,2,4,2,2,2,2,2,2,2,2,2,8
35,1,0,0,5,5,5,5,5,5,5,5,1,0
36,2,2,2,2,2,2,2,2,2,2,2,2,5
37,2,2,2,2,2,7,7,7,7,7,7,2,3
38,0,3,3,3,3,3,3,3,3,3,3,0,4
39,0,3,3,3,3,3,3,3,3,3,3,0,4
40,1,1,4,5,6,6,6,6,6,6,6,3,7
41,2,2,4,4,6,6,6,9,9,9,9,2,8
42,1,1,4,5,6,6,6,6,6,6,6,3,7
43,1,3,3,3,3,3,3,3,3,3,3,0,4
44,1,1,4,5,6,6,6,6,6,6,6,3,7
45,1,2,4,5,6,6,6,6,6,6,9,3,7
46,0,0,4,4,4,4,4,4,4,4,4,1,2
47,0,0,0,0,0,4,4,4,10,11,11,0,3
48,2,2,4,4,6,4,4,9,9,9,9,2,8
49,2,2,4,4,4,4,4,9,9,9,9,2,8
50,0,3,3,3,3,3,3,3,3,3,3,0,4
51,2,2,2,2,2,2,2,9,9,9,9,2,8
52,0,0,4,4,4,4,4,9,9,9,9,1,2
53,2,2,4,4,4,4,4,9,9,9,9,2,8
54,99,99,99,99,99,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99,99,99,99,99,99
Modularity,0.09735621017833454,0.12140535882562395,0.11433535758904305,0.13808884700479804,0.14677326587007788,0.14437366230124954,0.1292761713627927,0.1324828013766325,0.12538937922711227,0.12278963683626826,0.12040866403633572,0.16656823814456717,0.12453570312497046
NMI,0.58843324598224955,0.65467449118040244,0.4853284950699035,0.56063383316220816,0.62804433967228601,0.601419022282629,0.54978436721390045,0.61872573985268753,0.6773695282531873,0.66269919661215471,0.63161311231723316,1.0,0.57737628689954101
