,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
0,1,3,3,3,3,3,3,3
1,0,3,3,3,3,3,3,3
2,1,3,3,3,3,3,3,3
3,2,3,2,4,2,2,2,2
4,1,3,3,3,3,3,3,3
5,2,2,2,2,2,2,2,2
6,2,2,2,2,2,2,2,2
7,2,2,2,2,2,2,2,2
8,1,1,1,4,4,4,4,4
9,0,3,3,4,4,7,7,7
10,2,2,2,2,2,2,2,7
11,2,2,2,2,2,2,2,2
12,2,2,2,2,2,2,2,2
13,2,2,2,2,2,2,2,2
14,2,2,2,2,2,7,7,7
15,2,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2,2
17,2,2,2,2,2,2,2,2
18,2,2,2,2,2,2,2,2
19,2,2,2,2,2,2,2,2
20,2,2,2,2,2,2,2,2
21,2,2,4,4,4,4,4,4
22,99,99,99,99,99,99,99,99
23,1,3,1,1,1,7,1,1
24,99,99,99,99,99,99,99,99
25,1,1,1,1,1,1,1,1
26,2,2,2,2,2,2,2,2
27,1,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1
30,2,2,4,5,5,5,5,5
31,0,0,4,5,5,5,5,5
32,0,0,4,5,5,5,5,9
33,2,2,4,5,5,5,5,5
34,2,2,4,5,5,5,5,9
35,0,3,3,3,3,3,3,3
36,1,1,4,4,4,4,4,4
37,2,2,2,4,4,7,8,8
38,1,1,1,2,1,1,8,8
39,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1
41,1,0,0,1,1,6,6,6
42,99,99,99,99,99,99,99,99
43,1,1,1,1,1,7,1,1
44,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1
46,1,1,1,1,1,1,1,1
47,2,2,4,4,4,4,8,8
48,1,1,1,1,1,1,1,1
49,1,1,1,5,5,5,5,9
50,0,0,0,0,6,6,6,6
51,1,1,1,1,6,7,1,1
52,1,1,1,1,6,6,6,6
53,1,1,1,1,1,1,1,1
54,99,99,99,99,99,99,99,99
55,99,99,99,99,99,99,99,99
