,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Louvain,
0,0,2,2,2,2,6,6,6,6,6,6,0,
1,0,0,0,2,0,1,8,9,9,10,9,1,
2,2,2,2,2,2,6,6,6,6,6,6,1,
3,2,2,4,4,6,2,2,2,2,2,2,1,
4,0,0,2,2,2,6,6,6,6,6,6,0,
5,2,2,2,2,2,6,7,7,7,7,7,1,
6,0,0,2,2,2,1,8,9,9,10,9,1,
7,0,0,0,0,0,1,8,9,8,8,8,1,
8,0,0,0,0,0,0,5,5,8,8,8,4,
9,1,3,3,3,3,6,7,7,7,7,7,2,
10,2,2,2,2,5,7,7,7,7,7,7,1,
11,2,2,2,5,5,7,7,7,7,7,7,1,
12,2,2,2,2,2,7,7,7,7,7,7,1,
13,2,2,2,2,6,2,2,2,2,2,2,1,
14,2,2,4,4,4,4,4,4,4,4,4,1,
15,2,2,4,4,4,4,4,4,4,4,4,1,
16,2,2,2,4,4,6,7,4,7,4,4,1,
17,2,2,4,4,4,4,4,4,4,4,4,1,
18,2,2,4,4,4,4,4,4,4,4,4,1,
19,0,3,4,4,4,4,4,4,4,4,11,1,
20,2,2,4,4,4,4,4,4,4,4,4,1,
21,2,2,2,2,2,6,8,9,9,10,9,1,
22,2,2,4,4,4,4,4,4,4,4,4,1,
23,0,2,0,0,6,2,2,2,2,2,2,3,
24,2,2,1,1,6,2,2,2,2,2,2,3,
25,1,1,1,1,6,2,2,2,2,2,2,3,
26,2,2,2,2,2,2,2,2,2,2,2,1,
27,1,1,1,1,1,1,1,1,1,11,11,4,
28,0,3,3,3,3,3,3,3,3,3,3,2,
29,1,1,1,1,1,1,1,1,1,11,12,4,
30,0,3,3,3,3,3,3,3,3,3,3,2,
31,2,3,3,3,3,3,3,3,3,3,3,2,
32,0,3,3,3,3,3,3,3,3,3,3,2,
33,1,3,3,3,3,3,3,3,3,3,3,2,
34,2,3,3,3,3,3,3,3,3,3,3,2,
35,0,0,2,2,2,6,6,6,6,6,6,0,
36,1,1,1,1,1,1,1,1,1,8,1,4,
37,2,2,4,4,6,5,7,9,5,5,5,4,
38,2,2,1,0,6,1,7,1,5,11,12,4,
39,1,1,1,5,5,1,8,8,10,9,10,4,
40,1,1,1,1,1,5,5,5,5,5,5,4,
41,0,2,2,5,5,5,5,5,5,5,5,4,
42,1,2,1,5,5,5,5,5,5,5,5,4,
43,1,1,1,1,1,1,1,1,1,1,1,4,
44,1,1,1,1,1,1,1,1,1,1,1,4,
45,1,1,1,1,1,1,1,1,1,1,1,4,
46,1,1,1,5,5,7,8,8,10,9,10,4,
47,0,2,0,0,6,2,7,9,5,5,8,4,
48,1,1,1,1,1,1,1,1,1,1,1,4,
49,1,1,1,1,1,1,1,1,1,1,1,4,
50,1,1,1,5,5,7,8,8,10,9,10,4,
51,0,0,0,5,5,7,8,8,10,9,10,4,
52,1,1,2,2,2,6,6,6,6,6,6,0,
53,1,1,1,1,1,1,1,1,1,1,1,4,
54,99,99,99,99,99,99,99,99,99,99,99,99,
55,99,99,99,99,99,99,99,99,99,99,99,99,
Modularity,0.0992444239423825,0.14120351613624615,0.17459687937780605,0.1636133632958043,0.15740533883224958,0.1492441019980847,0.1487979383991584,0.16089569622675068,0.15993006320268086,0.15122469668104127,0.14428299437489012,0.2042068823427026,
NMI,0.30009436146818924,0.46419310603928593,0.58849860670498044,0.58899721668466898,0.59271047836888346,0.52613913515509125,0.58380342831787524,0.65207802285250871,0.66376818168819529,0.64398338236460562,0.62188024213786086,1.0,
Silhoutte,0.02627142,0.08582432,0.13453583,0.129601,0.14155435,0.14929061,0.17664384,0.20560223,0.23755433,0.22588284,0.21745398,0.09096129,
